Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Một cuộc tấn công từ chối dịch vụ phân tán (DDoS) làm gì?,Multiple Choice,Một cuộc tấn công DDoS nhắm vào các hệ thống doanh nghiệp bằng cách cài đặt một virus worm.,Một cuộc tấn công DDoS nhắm vào máy chủ trong doanh nghiệp bằng cách làm quá tải nó với lưu lượng truy cập từ nhiều hệ thống được đồng bộ hóa.,Một cuộc tấn công DDoS ngắt kết nối người dùng khỏi internet.,Một cuộc tấn công DDoS cài đặt phần mềm độc hại vào máy tính của người dùng.,,2,60,,
Yếu tố nào khác của bảo mật đám mây?,Multiple Choice,Truyền phát trên đám mây (Cloud streaming).,Bảo mật mạng đám mây (Cloud network security).,Truy cập đám mây ngoại tuyến (Offline cloud access).,Bảo mật thiết bị (Device security).,,2,60,,
Điện toán đám mây là một phần quan trọng trong chiến lược chuyển đổi số của một doanh nghiệp. Đúng hay sai.,Multiple Choice,Đúng,Sai,,,,1,60,,
Một số phương pháp hay nhất mà các tổ chức cần tuân theo để bảo vệ tài nguyên và hệ thống đám mây của họ là gì? Chọn hai.,Checkbox,Chạy các công cụ giám sát bảo mật định kỳ để đảm bảo các mối đe dọa và vi phạm bảo mật được gắn cờ,Giám sát tích cực về bảo mật và tuân thủ,Áp dụng mô hình trách nhiệm chung (shared responsibility model),"Phân phối các tác vụ, khối lượng công việc và lưu lượng mạng",,"2,3",60,,
Các thành phần chính của Quản lý Danh tính và Truy cập (IAM) là gì? Chọn hai.,Checkbox,Nhúng bảo mật trong suốt vòng đời của một ứng dụng,"Bảo vệ dữ liệu khi nó ở trạng thái nghỉ (at rest), đang chuyển động (in motion) và đang sử dụng (in use)",Kiểm toán và Tuân thủ (Audit and Compliance),Dịch vụ Thư mục Đám mây (Cloud Directory Services),,"3,4",60,,
"Phát biểu nào sau đây là đúng về mã hóa đám mây? A. Mã hóa đảm bảo chỉ những người dùng được ủy quyền mới có quyền truy cập vào dữ liệu nhạy cảm. B. Khi dữ liệu được mã hóa bị chặn mà không có sự cho phép, nó không thể đọc được và vô nghĩa? C. Mã hóa bảo vệ dữ liệu khi nó ở trạng thái nghỉ, đang truyền và đang được sử dụng trong bộ nhớ. D. Mã hóa loại bỏ rủi ro bảo mật dữ liệu",Multiple Choice,"Chỉ A, B và D","Chỉ A, B và C",Chỉ A và C,"A, B, C và D",,2,60,,
Xác định một số phương pháp hay nhất về giám sát đám mây tiêu chuẩn từ các tùy chọn được cung cấp. Chọn hai,Checkbox,Tận dụng các giải pháp giám sát trải nghiệm người dùng cuối để nắm bắt hiệu suất của một ứng dụng từ góc độ của người dùng cuối.,Theo dõi việc sử dụng và chi phí của các tài nguyên và dịch vụ đám mây của bạn.,Mã hóa dữ liệu trước khi nó được gửi lên đám mây.,Xác thực người dùng đang cố gắng truy cập tài nguyên đám mây của họ.,,"1,2",60,,
Điền vào chỗ trống. _____________ là một phần quan trọng trong chiến lược chuyển đổi số của một doanh nghiệp.,Multiple Choice,Cơ sở dữ liệu,Mã hóa,Điện toán đám mây,Thiết bị lưu trữ cục bộ,,3,60,,
Đâu là một số phương pháp hay nhất mà các tổ chức phải tuân theo để bảo vệ tài nguyên và hệ thống đám mây của họ?,Multiple Choice,Chạy các công cụ giám sát bảo mật định kỳ để đảm bảo các mối đe dọa và vi phạm bảo mật được gắn cờ,"Phân phối các tác vụ, khối lượng công việc và phần mềm giám sát",Áp dụng mô hình trách nhiệm chung về giám sát tích cực cho bảo mật và tuân thủ,"Phân phối các tác vụ, khối lượng công việc và lưu lượng mạng",,3,60,,
Các thành phần chính của Quản lý Danh tính và Truy cập (IAM) là gì?,Multiple Choice,"Bảo vệ dữ liệu khi nó ở trạng thái nghỉ, đang chuyển động và đang sử dụng","Dịch vụ Thư mục Đám mây, Kiểm toán và Tuân thủ",Nhúng bảo mật trong suốt vòng đời của một ứng dụng,Các phương pháp bảo mật mã hóa,,2,60,,
Xác định một số phương pháp hay nhất về giám sát đám mây tiêu chuẩn từ các tùy chọn được cung cấp.,Multiple Choice,Mã hóa dữ liệu trước khi nó được gửi lên đám mây.,Mã hóa dữ liệu trên một thiết bị lưu trữ vật lý.,Xác thực người dùng đang cố gắng truy cập tài nguyên đám mây của họ.,Tận dụng các giải pháp giám sát trải nghiệm người dùng cuối để nắm bắt hiệu suất của một ứng dụng từ góc độ của người dùng cuối và theo dõi việc sử dụng và chi phí của các tài nguyên và dịch vụ đám mây của bạn.,,4,60,,
"Một số công cụ giám sát giúp bạn có được thông tin chi tiết về tình hình, sự tuân thủ và các mối đe dọa của mình là gì?",Multiple Choice,Hypervisors,Nhật ký luồng (Flow logs) từ mạng và các sự kiện bảo mật,Nhật ký luồng và hypervisors,Mã hóa dữ liệu,,2,60,,
Một số lợi ích của việc sử dụng các nhóm truy cập (access groups) là gì?,Multiple Choice,Nhóm truy cập giúp tăng số lượng chính sách của một tài khoản.,"Nhóm truy cập xác định người dùng, tài nguyên được cấp quyền truy cập và cấp độ quyền mà mỗi người dùng có trên các tài nguyên này.",Nhóm truy cập tạo ra một cấp độ xác thực bổ sung cho người dùng ứng dụng.,Việc sử dụng các nhóm truy cập giúp giảm số lượng chính sách trong một tài khoản. Các nhóm truy cập cung cấp một cách hợp lý hơn để gán quyền truy cập.,,4,60,,
Xác định hai phần chính của một hệ thống mã hóa từ các tùy chọn được cung cấp.,Multiple Choice,Mã hóa phía máy chủ (Server-side encryption),Thuật toán mã hóa và khóa giải mã,Mã hóa phía máy khách (Client-side encryption),Thiết bị mã hóa vật lý,,2,60,,
Một số lợi ích mà các giải pháp giám sát đám mây mang lại là gì?,Multiple Choice,Tăng tốc chẩn đoán và giải quyết các sự cố về hiệu suất và cung cấp thông báo chủ động về các tình huống bất thường hoặc không bình thường.,Khắc phục sự cố ứng dụng và hạ tầng,Tăng cường bảo mật cho tài khoản người dùng,Ngăn chặn người dùng không được phép truy cập vào hệ thống,,1,60,,
"The Weather Company đã di chuyển tài sản web thời tiết của mình sang một kiến trúc an toàn, có khả năng mở rộng và toàn cầu trên IBM Cloud. Họ đã nhận được những lợi ích gì từ việc di chuyển này?",Multiple Choice,Tăng tính sẵn sàng của tài sản và hiệu quả tổng thể của thiết bị,Phát triển và phát hành nhanh hơn các ứng dụng mới và các công cụ tự phục vụ kỹ thuật số cho khách hàng,Tăng cường phát triển và tăng độ trễ,Khai thác các trung tâm dữ liệu địa phương để giảm thiểu độ trễ cho người dùng và tối ưu hóa hệ thống của họ để có tính đàn hồi trong việc xử lý các đợt tăng đột biến về nhu cầu,,4,60,,
"Thành phần nào của IBM Cloud đã giúp bạn làm cho dịch vụ Đặt hàng DineEase có khả năng mở rộng? Chọn thành phần giám sát các yêu cầu đến, tăng giảm các instance ứng dụng để đáp ứng nhu cầu và là một nền tảng serverless được quản lý hoàn toàn.",Multiple Choice,Turbonomic,API Connect,IBM Watson Assistant,IBM Cloud Code Engine,,4,60,,
Mô hình triển khai nào phù hợp với yêu cầu độ trễ thấp và tính sẵn sàng cao cho các dịch vụ DineEase?,Multiple Choice,IBM Edge Application Manager,Single campus Multizone Regions,Multizone Regions (MZR),Hybrid Cloud HPC,,3,60,,
"Việc xử lý thanh toán cho DineEase đòi hỏi tính toán nhiều, cần một môi trường an toàn và phải xử lý nhanh một lượng lớn dữ liệu. Bạn đã chọn dịch vụ IBM Cloud nào cho những khả năng này?",Multiple Choice,IBM Cloud Bare Metal Servers,IBM Cloud Functions,IBM Cloud for VMware Solutions,IBM WebSphere Application Server,,1,60,,
"Các dịch vụ Tìm kiếm, Menu và Định giá cho DineEase cần sự linh hoạt để sử dụng các ngăn xếp công nghệ (technology stacks) khác nhau cho mỗi dịch vụ. Bạn đã chọn dịch vụ IBM Cloud nào để giải quyết vấn đề này?",Multiple Choice,IBM Cloud Kubernetes Service,IBM Cloud Bare Metal Servers,Container Security Services,IBM WebSphere Application Server,,1,60,,
"Bạn cần tìm một dịch vụ có thể tương tác với các dịch vụ API của DineEase và thế giới bên ngoài, loại bỏ các phụ thuộc cứng nhắc và thêm một lớp giao tiếp. Bạn đã chọn dịch vụ IBM Cloud nào để giải quyết vấn đề này?",Multiple Choice,IBM API Connect,Event Streams,IBM App Connect,IBM Lift,,1,60,,
DineEase cần tối ưu hóa việc đọc để người tiêu dùng có thể xem các bài đánh giá và xếp hạng nhà hàng. Bạn đã chọn dịch vụ IBM Cloud nào để giải quyết vấn đề này?,Multiple Choice,IBM Db2 Warehouse on Cloud,IBM Db2 on Cloud,IBM Cloud Databases for MySQL,IBM Cloudant,,4,60,,
"DineEase cần tìm một cơ sở dữ liệu quan hệ IBM được quản lý hoàn toàn, triển khai theo khu vực và cung cấp khả năng phục hồi sau thảm họa có tính sẵn sàng cao (HADR). Bạn đã chọn dịch vụ IBM Cloud nào để giải quyết vấn đề này?",Multiple Choice,IBM Db2 on Cloud,IBM Cloudant,IBM Cloud Databases for MongoDB,IBM Cloud Object Storage,,1,60,,
"DineEase lưu trữ rất nhiều ảnh đồ ăn, logo nhà hàng và các phương tiện phụ khác. Tìm dịch vụ phân phối nội dung của họ ở các nút địa lý đa dạng và rút ngắn khoảng cách mà hình ảnh phương tiện cần di chuyển để đến thiết bị của người tiêu dùng. Bạn đã chọn dịch vụ IBM Cloud nào để giải quyết vấn đề này?",Multiple Choice,IBM Cloud Pak for Data,Content Delivery Network (CDN),IBM Cloud Backup,IBM Cloud Databases for MongoDB,,2,60,,
Ứng dụng mới cần một dịch vụ để cân bằng lưu lượng truy cập giữa các máy chủ của nó để giúp cải thiện thời gian hoạt động. Bạn đã chọn dịch vụ IBM Cloud nào?,Multiple Choice,IBM Cloud Load Balancer for VPC or Classic,IBM Cloud Code Engine,IBM Cloud Activity Tracker,IBM Cloud Direct Link,,1,60,,
Bạn cần tìm một dịch vụ mà bạn có thể sử dụng để giám sát hiệu suất và tình trạng hoạt động của DineEase. Bạn đã chọn dịch vụ IBM Cloud nào?,Multiple Choice,IBM Cloud Pak for AIOps,IBM Log Analysis,IBM Cloud Monitoring,IBM Cloud Activity Tracker,,3,60,,
Bốn yếu tố chính mà một kiến trúc sư giải pháp nên xem xét khi họ phải chọn một Vùng (Region) là gì?,Multiple Choice,"Độ trễ, giá cả, tính sẵn có của dịch vụ và tuân thủ","Độ trễ, tính sẵn sàng cao, thuế và tuân thủ","Độ trễ, thuế, tốc độ và tuân thủ","Độ trễ, bảo mật, tính sẵn sàng cao và khả năng phục hồi",,1,60,,
Đúng hay Sai: Mọi hành động mà người dùng thực hiện trong AWS đều là một lệnh gọi API.,Multiple Choice,Đúng,Sai,,,,1,60,,
"Phát biểu nào mô tả ĐÚNG NHẤT mối quan hệ giữa các Vùng (Regions), Vùng sẵn sàng (Availability Zones) và các trung tâm dữ liệu?",Multiple Choice,Vùng sẵn sàng là các cụm Vùng. Vùng là các cụm trung tâm dữ liệu.,Trung tâm dữ liệu là cụm của các Vùng sẵn sàng. Vùng là các cụm của các Vùng sẵn sàng.,Vùng là các cụm của các Vùng sẵn sàng. Vùng sẵn sàng là các cụm của các trung tâm dữ liệu.,Trung tâm dữ liệu là các cụm Vùng. Vùng là các cụm của các Vùng sẵn sàng.,,3,60,,
Điều nào sau đây là một lợi ích của điện toán đám mây?,Multiple Choice,Chạy và bảo trì các trung tâm dữ liệu của riêng bạn.,Tăng thời gian đưa ra thị trường.,Cung cấp quá mức để mở rộng quy mô.,Vươn ra toàn cầu trong vài phút.,,4,60,,
Một công ty muốn quản lý các dịch vụ AWS bằng cách sử dụng dòng lệnh và tự động hóa chúng bằng các tập lệnh. Công ty nên sử dụng gì để đạt được mục tiêu này?,Multiple Choice,AWS Management Console,Giao diện dòng lệnh AWS (AWS CLI),Các bộ công cụ phát triển phần mềm AWS (AWS SDKs),AWS Management Console và AWS SDKs,,2,60,,
Phương pháp hay nhất khi bảo mật người dùng gốc (root user) của tài khoản AWS là gì?,Multiple Choice,Kích hoạt quyền truy cập AWS Identity and Access Management (IAM) vào bảng điều khiển Thanh toán và Quản lý chi phí,Sử dụng người dùng gốc cho các tác vụ quản trị thông thường,Thay đổi cài đặt tài khoản,Bật xác thực đa yếu tố (MFA),,4,60,,
"Một kiến trúc sư giải pháp đang tư vấn cho một công ty. Khi người dùng trong công ty xác thực vào mạng công ty, họ muốn có thể sử dụng AWS mà không cần phải đăng nhập lại. Kiến trúc sư giải pháp nên đề xuất danh tính AWS nào cho trường hợp sử dụng này?",Multiple Choice,Người dùng gốc của tài khoản AWS,Người dùng AWS Identity and Access Management (IAM),Vai trò IAM (IAM Role),Nhóm IAM (IAM Group),,3,60,,
Điều nào sau đây có thể được tìm thấy trong một chính sách AWS Identity and Access Management (IAM)?,Multiple Choice,Effect (Hiệu lực),Action (Hành động),Object (Đối tượng),A và B,B và C,4,60,,
Đúng hay Sai: Các chính sách AWS Identity and Access Management (IAM) có thể hạn chế các hành động của người dùng gốc của tài khoản AWS.,Multiple Choice,Đúng,Sai,,,,2,60,,
"Theo mô hình trách nhiệm chung của AWS, điều nào sau đây là trách nhiệm của AWS?",Multiple Choice,"Kiểm soát hệ điều hành và nền tảng ứng dụng, cũng như mã hóa, bảo vệ và quản lý dữ liệu của khách hàng.","Quản lý dữ liệu của khách hàng, mã hóa dữ liệu đó và bảo vệ dữ liệu thông qua tường lửa mạng và sao lưu.","Quản lý các thành phần phần cứng, phần mềm và mạng chạy các dịch vụ AWS, chẳng hạn như máy chủ vật lý, hệ điều hành máy chủ, các lớp ảo hóa và các thành phần mạng AWS.","Quản lý dữ liệu của khách hàng, mã hóa dữ liệu đó và bảo vệ dữ liệu thông qua mã hóa phía máy khách.",,3,60,,
Điều nào sau đây được khuyến nghị nếu một công ty có một tài khoản AWS duy nhất và nhiều người làm việc với các dịch vụ AWS trong tài khoản đó?,Multiple Choice,Tất cả mọi người phải sử dụng người dùng gốc để làm việc với các dịch vụ AWS hàng ngày.,"Công ty nên tạo một nhóm AWS Identity and Access Management (IAM), cấp cho nhóm các quyền để thực hiện các chức năng công việc cụ thể và gán người dùng vào một nhóm hoặc sử dụng các vai trò IAM.",Công ty phải tạo người dùng AWS Identity and Access Management (IAM) và cấp cho người dùng các quyền để thực hiện các chức năng công việc cụ thể.,Công ty phải tạo một người dùng AWS Identity and Access Management (IAM) và cấp cho người dùng quyền truy cập vào tất cả các tài nguyên AWS.,,2,60,,
"Đúng hay Sai: Theo mô hình trách nhiệm chung của AWS, khách hàng chịu trách nhiệm về bảo mật trên đám mây.",Multiple Choice,Đúng,Sai,,,,1,60,,
Điều nào sau đây cung cấp thông tin xác thực tạm thời (hết hạn sau một khoảng thời gian xác định) cho các dịch vụ AWS?,Multiple Choice,Nguyên tắc đặc quyền tối thiểu (Principle of least privilege),Vai trò IAM (IAM role),Nhà cung cấp danh tính (Identity provider - IdP),AWS IAM Identity Center (tiền thân là AWS Single Sign-On),,2,60,,
Một người dùng đang lưu trữ một giải pháp trên Amazon Elastic Compute Cloud (Amazon EC2). Thành phần mạng nào là cần thiết để tạo một mạng riêng cho các tài nguyên AWS của họ?,Multiple Choice,Đám mây riêng ảo (Virtual private cloud - VPC),Instance,Thẻ (Tags),Amazon Machine Image (AMI),,1,60,,
Thông tin nào là cần thiết để tạo một đám mây riêng ảo (VPC)?,Multiple Choice,Vùng sẵn sàng (Availability Zone) mà VPC sẽ nằm trong đó.,Mạng con (subnet) mà VPC sẽ nằm trong đó.,Vùng AWS (AWS Region) mà VPC sẽ nằm trong đó.,Nhóm các mạng con mà VPC sẽ nằm trong đó.,,3,60,,
Một bảng định tuyến (route table) có thể được đính kèm vào đâu?,Multiple Choice,Tài khoản AWS,Vùng sẵn sàng (Availability Zone),Mạng con (Subnets),Vùng (Regions),,3,60,,
Một công ty muốn cho phép các tài nguyên trong một mạng con công cộng (public subnet) giao tiếp với internet. Công ty phải làm gì sau đây để đáp ứng yêu cầu này?,Multiple Choice,Tạo một tuyến đường đến một mạng con riêng tư,Đính kèm một cổng internet (internet gateway) vào VPC của họ,Tạo một tuyến đường trong bảng định tuyến đến cổng internet,A và B,B và C,5,60,,
Mô hình tính toán dưới dạng dịch vụ (CaaS) là gì?,Multiple Choice,Mô hình CaaS yêu cầu người dùng mua máy ảo và cấp phát máy chủ thủ công để chạy một khối lượng công việc.,"Mô hình CaaS cung cấp các tài nguyên tính toán (chẳng hạn như máy ảo chạy trên các máy chủ trong các trung tâm dữ liệu) theo yêu cầu, bằng cách sử dụng các dịch vụ ảo.","Mô hình CaaS cung cấp chiết khấu lớn cho các tài nguyên tính toán. Tuy nhiên, người dùng phải chạy khối lượng công việc từ máy chủ được lưu trữ tại chỗ.","Mô hình CaaS cung cấp các ứng dụng dựa trên đám mây cho người dùng trên toàn cầu, qua internet.",,2,60,,
Phát biểu nào về cài đặt mặc định của một nhóm bảo mật (security group) là ĐÚNG?,Multiple Choice,Cho phép tất cả lưu lượng truy cập vào và chặn tất cả lưu lượng truy cập ra theo mặc định.,Chặn tất cả lưu lượng truy cập vào và cho phép tất cả lưu lượng truy cập ra theo mặc định.,Cho phép tất cả lưu lượng truy cập vào và ra theo mặc định.,Chặn tất cả lưu lượng truy cập vào và ra theo mặc định.,,2,60,,
Loại instance của Amazon Elastic Compute Cloud (Amazon EC2) cho biết điều gì?,Multiple Choice,Họ instance và kích thước instance,Vị trí instance và kích thước instance,Hình thức thuê instance và thanh toán instance,Amazon Machine Image (AMI) của instance và tốc độ mạng,,1,60,,
Sự khác biệt giữa việc sử dụng AWS Fargate hoặc Amazon Elastic Compute Cloud (Amazon EC2) làm nền tảng tính toán cho Amazon Elastic Container Service (Amazon ECS) là gì?,Multiple Choice,"Với AWS Fargate, AWS quản lý và cấp phát cơ sở hạ tầng cơ bản để lưu trữ các container.","Với Amazon ECS trên Amazon EC2, AWS quản lý và cấp phát instance EC2 cơ bản cho các container.","Với AWS Fargate, người dùng cần quản lý dung lượng và khả năng mở rộng của cụm.","Với Amazon ECS trên Amazon EC2, người dùng chỉ cần tải lên mã nguồn. Amazon ECS sẽ lo phần còn lại.",,1,60,,
Phát biểu nào về serverless là ĐÚNG?,Multiple Choice,Người dùng phải cấp phát và quản lý máy chủ.,Người dùng phải mở rộng quy mô tài nguyên serverless theo cách thủ công.,Người dùng không trả tiền cho các tài nguyên không hoạt động.,Người dùng phải quản lý tính sẵn sàng và khả năng chịu lỗi.,,3,60,,
Đúng hay Sai: AWS Lambda luôn là giải pháp tốt nhất khi chạy các ứng dụng trên AWS.,Multiple Choice,Đúng,Sai,,,,2,60,,
Dịch vụ tính toán nào mà Amazon Elastic Compute Cloud (Amazon EC2) cung cấp?,Multiple Choice,Dịch vụ container,Serverless,Máy ảo (VMs),Phân tích (Analytics),,3,60,,
Instance đang ở giai đoạn nào của vòng đời khi tài khoản bắt đầu tích lũy phí?,Multiple Choice,Khi một instance đang ở giai đoạn chờ xử lý (pending),Khi một instance đang ở giai đoạn đang chạy (running),Khi một instance bị dừng (stopped),Khi một instance bị chấm dứt (terminated),,2,60,,
Thành phần nào của instance c5.4xlarge xác định họ instance và số thế hệ?,Multiple Choice,4x,Large,4xlarge,c5,,4,60,,
Runtime container nào có thể được sử dụng để lưu trữ một container trên một instance Amazon Elastic Compute Cloud (Amazon EC2)?,Multiple Choice,Docker,Container,Amazon Simple Storage Service (Amazon S3),Amazon EC2,,1,60,,
Ví dụ nào về một sự kiện gọi một hàm AWS Lambda?,Multiple Choice,Một lệnh gọi API AWS được thực hiện bởi một vai trò AWS Identity and Access Management (IAM),Tải lên một tệp vào bucket nguồn của Amazon Simple Storage Service (Amazon S3),Một yêu cầu HTTP đến một trang web được lưu trữ trên Amazon Elastic Compute Cloud (Amazon EC2),Một trang web WordPress đơn giản không có tích hợp API,,2,60,,
"Đúng hay Sai: Với serverless, người dùng không cần cấp phát và quản lý máy chủ.",Multiple Choice,Đúng,Sai,,,,1,60,,
Đúng hay Sai: Tất cả các dịch vụ AWS đều yêu cầu người dùng cấu hình một đám mây riêng ảo (VPC).,Multiple Choice,Đúng,Sai,,,,2,60,,
Một kỹ sư đang làm việc với các mạng trong AWS Cloud. Kỹ sư nên sử dụng gì để cấu hình kích thước mạng của họ?,Multiple Choice,Ký hiệu Định tuyến liên miền không lớp (CIDR),Ký hiệu IPv6,Ký hiệu IPv4,Địa chỉ IP,,1,60,,
Sự khác biệt giữa danh sách kiểm soát truy cập mạng (network ACLs) và các nhóm bảo mật (security groups) là gì?,Multiple Choice,"Theo mặc định, network ACL cho phép lưu lượng truy cập đến và chặn lưu lượng truy cập đi từ một mạng con. Người dùng có thể thay đổi các cài đặt này để cung cấp một lớp bảo mật bổ sung. Tuy nhiên, các cấu hình mặc định của các nhóm bảo mật chặn tất cả lưu lượng truy cập.","Theo mặc định, network ACL chặn tất cả lưu lượng truy cập từ một mạng con. Tuy nhiên, các cấu hình mặc định của các nhóm bảo mật cho phép tất cả lưu lượng truy cập vào và ra. Người dùng có thể thay đổi các cài đặt này để cung cấp một lớp bảo mật bổ sung.","Theo mặc định, network ACL chặn lưu lượng truy cập đến và cho phép lưu lượng truy cập đi. Các cấu hình mặc định của các nhóm bảo mật chặn tất cả lưu lượng truy cập. Người dùng có thể thay đổi các cài đặt này khi họ cấu hình mạng cho instance của mình.","Theo mặc định, network ACL cho phép lưu lượng truy cập đến và đi từ một mạng con. Người dùng có thể thay đổi các cài đặt này để cung cấp một lớp bảo mật bổ sung. Tuy nhiên, các cấu hình mặc định của các nhóm bảo mật chặn tất cả lưu lượng truy cập vào và cho phép tất cả lưu lượng truy cập ra.",,4,60,,
Trường hợp sử dụng điển hình cho Amazon Simple Storage Service (Amazon S3) là gì?,Multiple Choice,Lưu trữ đối tượng để lưu trữ media,Lưu trữ đối tượng cho một ổ đĩa khởi động,Lưu trữ khối cho một instance Amazon Elastic Compute Cloud (Amazon EC2),Lưu trữ tệp cho nhiều instance Amazon Elastic Compute Cloud (Amazon EC2),,1,60,,
Một công ty cần một lớp lưu trữ cho một cơ sở dữ liệu quan hệ có giao dịch cao trên một instance Amazon Elastic Compute Cloud (Amazon EC2). Công ty nên sử dụng dịch vụ nào?,Multiple Choice,Amazon EC2 Instance Store,Amazon Elastic Block Store (Amazon EBS),Amazon Simple Storage Service (Amazon S3),Amazon Elastic File System (Amazon EFS),,2,60,,
Đúng hay Sai: Các ổ đĩa Amazon Elastic Block Store (Amazon EBS) được coi là bộ nhớ tạm thời (ephemeral storage).,Multiple Choice,Đúng,Sai,,,,2,60,,
"Một kiến trúc sư giải pháp đang làm việc cho một cơ sở chăm sóc sức khỏe, và họ được giao nhiệm vụ lưu trữ thông tin bệnh nhân trong 7 năm mà hiếm khi được truy cập. Giám đốc CNTT của cơ sở yêu cầu kiến trúc sư giải pháp xem xét một trong các bậc lưu trữ của Amazon Simple Storage Service (Amazon S3) để lưu trữ thông tin bệnh nhân. Kiến trúc sư giải pháp nên đề xuất bậc lưu trữ nào?",Multiple Choice,Amazon S3 Standard,Amazon S3 Glacier Deep Archive,Amazon S3 Standard-Infrequent Access,Amazon S3 Intelligent-Tiering,,2,60,,
Đúng hay Sai: Lưu trữ đối tượng là giải pháp lưu trữ tốt nhất cho các ứng dụng cần cập nhật thường xuyên các phần nhỏ cụ thể của một tệp.,Multiple Choice,Đúng,Sai,,,,2,60,,
Đúng hay Sai: Việc triển khai Đa Vùng sẵn sàng (Multi-AZ) có lợi khi người dùng muốn tăng tính sẵn sàng của cơ sở dữ liệu của họ.,Multiple Choice,Đúng,Sai,,,,1,60,,
Nhiệm vụ nào trong việc chạy và vận hành cơ sở dữ liệu mà người dùng chịu trách nhiệm khi họ sử dụng Amazon Relational Database Service (Amazon RDS)?,Multiple Choice,Tối ưu hóa cơ sở dữ liệu,Cấp phát và quản lý cơ sở hạ tầng cơ bản,Cài đặt hệ quản trị cơ sở dữ liệu quan hệ trên instance cơ sở dữ liệu,Cài đặt các bản vá cho hệ điều hành cho instance cơ sở dữ liệu,,1,60,,
Những trường hợp nào sau đây là trường hợp sử dụng phổ biến cho lưu trữ tệp? (Chọn HAI.),Checkbox,Thư mục chính của người dùng,Các tệp sao lưu được lưu trữ trong Amazon Simple Storage Service (Amazon S3),Cơ sở dữ liệu quan hệ hoặc phi quan hệ,Các kho nội dung lớn,Phân tích dữ liệu lớn,"1,4",60,,
Đúng hay Sai: Bộ phận CNTT trong một công ty có thể đính kèm các ổ đĩa Amazon Elastic Block Store (Amazon EBS) vào Amazon Simple Storage Service (Amazon S3) để lưu trữ dữ liệu trong một bucket.,Multiple Choice,Đúng,Sai,,,,2,60,,
Họ instance nào sau đây mà Amazon Relational Database Service (Amazon RDS) hỗ trợ? (Chọn HAI.),Checkbox,Tối ưu hóa lưu trữ (Storage optimized),Mục đích chung (General purpose),Tối ưu hóa tính toán (Compute optimized),Tối ưu hóa bộ nhớ (Memory optimized),Tính toán tăng tốc (Accelerated computing),"2,4",60,,
Một kiến trúc sư giải pháp đang làm việc cho một doanh nghiệp nhỏ. Doanh nghiệp đang tìm kiếm một dịch vụ lưu trữ tạm thời lưu trữ dữ liệu thay đổi thường xuyên và không bền vững. Loại dữ liệu này có thể bị xóa trong quá trình dừng hoặc chấm dứt instance. Kiến trúc sư giải pháp nên đề xuất dịch vụ nào cho trường hợp sử dụng này?,Multiple Choice,Amazon Elastic Block Store (Amazon EBS),Amazon Simple Storage Service (Amazon S3),Amazon Elastic Compute Cloud (Amazon EC2) Instance Store,Amazon Elastic File System (Amazon EFS),,3,60,,
"Cơ sở dữ liệu nào là cơ sở dữ liệu phi quan hệ lưu trữ dữ liệu theo cặp khóa-giá trị, và phù hợp để lưu trữ các bảng tra cứu đơn giản?",Multiple Choice,Amazon DynamoDB,Amazon DocumentDB,Amazon Neptune,Amazon Relational Database Service (Amazon RDS),,1,60,,
Thành phần cốt lõi nào của Amazon DynamoDB tương ứng với một cột trong một bảng cơ sở dữ liệu quan hệ?,Multiple Choice,Bảng (Table),Mục (Item),Thuộc tính (Attribute),Cơ sở dữ liệu (Database),,3,60,,
Dịch vụ cơ sở dữ liệu AWS nào phù hợp nhất cho các trường hợp sử dụng như mạng xã hội hoặc công cụ đề xuất?,Multiple Choice,Amazon DynamoDB,Amazon Aurora,Amazon Redshift,Amazon Neptune,,4,60,,
Ba thành phần của Amazon EC2 Auto Scaling là gì?,Multiple Choice,"Chính sách co giãn, nhóm bảo mật, nhóm EC2 Auto Scaling","Mẫu khởi chạy (Launch template), chính sách co giãn, nhóm EC2 Auto Scaling","Nhóm bảo mật, loại instance, cặp khóa (key pair)","ID Amazon Machine Image (AMI), loại instance, bộ nhớ",,2,60,,
Những tính năng nào sau đây được bao gồm trong Elastic Load Balancing (ELB)?,Multiple Choice,Tự động co giãn (Automatic scaling),Tích hợp với Amazon Relational Database Service RDS,Tích hợp với Amazon EC2 Auto Scaling,A và B,A và C,5,60,,
"Đúng hay Sai: Khi người dùng sử dụng Elastic Load Balancing (ELB) với một nhóm Auto Scaling, không cần phải đăng ký thủ công các instance Amazon Elastic Compute Cloud (Amazon EC2) riêng lẻ với bộ cân bằng tải.",Multiple Choice,Đúng,Sai,,,,1,60,,
Một ứng dụng phải chọn các nhóm mục tiêu (target groups) bằng cách sử dụng một quy tắc dựa trên đường dẫn của một URL. Loại Elastic Load Balancing (ELB) nào nên được sử dụng cho trường hợp sử dụng này?,Multiple Choice,Classic Load Balancer,Application Load Balancer,Network Load Balancer,Target Load Balancer,,2,60,,
Hai cách để một ứng dụng có thể được co giãn là gì?,Multiple Choice,Theo chiều dọc và chiều ngang,Theo đường chéo và chiều dọc,Theo chiều ngang và đường chéo,Độc lập và theo chiều dọc,,1,60,,
